"domain","field","subfield","count"
Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",13493
Health Sciences,Health Professions,General Health Professions,1645
Health Sciences,Health Professions,"Physical Therapy, Sports Therapy and Rehabilitation",983
Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",203
Health Sciences,Medicine,Emergency Medicine,83
Health Sciences,Medicine,Surgery,58
Health Sciences,Health Professions,Pharmacy,46
Health Sciences,Medicine,Physiology,45
Health Sciences,Medicine,Pathology and Forensic Medicine,44
Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",32
Health Sciences,Medicine,Reproductive Medicine,32
Health Sciences,Medicine,Pulmonary and Respiratory Medicine,24
Health Sciences,Medicine,Epidemiology,22
Health Sciences,Medicine,Psychiatry and Mental health,17
Health Sciences,Veterinary,Small Animals,16
Health Sciences,Medicine,Dermatology,13
Health Sciences,Health Professions,Emergency Medical Services,12
Health Sciences,Medicine,Oncology,11
Health Sciences,Medicine,Complementary and alternative medicine,9
Health Sciences,Medicine,Ophthalmology,9
Health Sciences,Medicine,Rheumatology,9
Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,8
Health Sciences,Medicine,Immunology and Allergy,8
Health Sciences,Medicine,Neurology,8
Health Sciences,Health Professions,Speech and Hearing,5
Health Sciences,Health Professions,Radiological and Ultrasound Technology,5
Health Sciences,Medicine,Infectious Diseases,5
Health Sciences,Veterinary,Equine,4
Health Sciences,Medicine,Obstetrics and Gynecology,4
Health Sciences,Medicine,Pharmacology,4
Health Sciences,Medicine,Hematology,4
Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",3
Health Sciences,Medicine,Health Informatics,3
Health Sciences,Medicine,Biochemistry,3
Health Sciences,Health Professions,Occupational Therapy,3
Health Sciences,Medicine,Anatomy,2
Health Sciences,Dentistry,Periodontics,1
Health Sciences,Medicine,Genetics,2
Health Sciences,Health Professions,Medical Laboratory Technology,2
Health Sciences,Nursing,Nutrition and Dietetics,2
Health Sciences,Medicine,Critical Care and Intensive Care Medicine,2
Health Sciences,Medicine,Rehabilitation,2
Health Sciences,Medicine,Nephrology,1
Health Sciences,Medicine,Gastroenterology,1
Health Sciences,Health Professions,Health Information Management,1
Health Sciences,Medicine,Transplantation,1
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,257
Life Sciences,Neuroscience,Cognitive Neuroscience,60
Life Sciences,Agricultural and Biological Sciences,Food Science,49
Life Sciences,Agricultural and Biological Sciences,Plant Science,41
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,32
Life Sciences,Neuroscience,Neurology,27
Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",27
